標題,作者,人氣,日期,連結
[標的] 2392 正崴 多,CCF2016,8,11月28日,https://www.ptt.cc/bbs/Stock/M.1606575890.A.39B.html
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,YAYA6655,,11月28日,https://www.ptt.cc/bbs/Stock/M.1606575895.A.46E.html
Re: [請益] 如果大家都買ETF不買個股？,ea9715234,10,11月28日,https://www.ptt.cc/bbs/Stock/M.1606577013.A.A6E.html
[公告] 十二月除權息法說會行事曆 (每日更新),yoche2000,,11月28日,https://www.ptt.cc/bbs/Stock/M.1606577224.A.916.html
[新聞] 郭台銘評論「夏普控康寧日本違約」　網友,Su22,14,11月28日,https://www.ptt.cc/bbs/Stock/M.1606577726.A.F00.html
[標的] 3037欣興 多,nuggets,22,11月29日,https://www.ptt.cc/bbs/Stock/M.1606579301.A.372.html
[新聞] 黑色星期五不見瘋狂人潮 美國購物季節變,icedog122,18,11月29日,https://www.ptt.cc/bbs/Stock/M.1606580788.A.F84.html
[新聞] 雪崩式下滑？華為手機明年市佔恐連 5%,Ninja650r,10,11月29日,https://www.ptt.cc/bbs/Stock/M.1606582079.A.ADF.html
[新聞] 陸公安懸賞科技廠可勝科技研發部台幹13萬元,rurugia,8,11月29日,https://www.ptt.cc/bbs/Stock/M.1606583867.A.947.html
Re: [心得] 原來勞動基金投資組長還兼投顧啊？,abasqoo,21,11月29日,https://www.ptt.cc/bbs/Stock/M.1606587336.A.727.html
Re: [請益] 如果大家都買ETF不買個股？,agoodlife,4,11月29日,https://www.ptt.cc/bbs/Stock/M.1606589525.A.902.html
[標的] 1785光洋科-MSCI多,ted6219,18,11月29日,https://www.ptt.cc/bbs/Stock/M.1606592582.A.A5A.html
Re: [請益] 如果大家都買ETF不買個股？,redsa12,38,11月29日,https://www.ptt.cc/bbs/Stock/M.1606596133.A.A01.html
[新聞] 裕隆納智捷 明年有望賺錢,cjol,32,11月29日,https://www.ptt.cc/bbs/Stock/M.1606606629.A.7CB.html
[新聞] 「飆股女王」授投資心法 2條線戰勝大盤,pipiboygay,爆,11月29日,https://www.ptt.cc/bbs/Stock/M.1606606856.A.8B2.html
[新聞] 力積電27日送件申請登錄興櫃股票,alanis06,39,11月29日,https://www.ptt.cc/bbs/Stock/M.1606606881.A.CCD.html
[新聞] 泉芯不足為懼　小心華為挖角,laptic,8,11月29日,https://www.ptt.cc/bbs/Stock/M.1606613130.A.E00.html
Re: [請益] 如果大家都買ETF不買個股？,Kouson,,11月29日,https://www.ptt.cc/bbs/Stock/M.1606613797.A.757.html
Re: [請益] 6000萬現在適合投入股市嗎,johneric,14,11月29日,https://www.ptt.cc/bbs/Stock/M.1606614570.A.3D3.html
[新聞] 英國搶第一！可望本周核准輝瑞疫苗使用,CavendishJr,33,11月29日,https://www.ptt.cc/bbs/Stock/M.1606619245.A.946.html
[標的] 台積電2330 聯電2303 世界先進5374,natyshow,35,11月29日,https://www.ptt.cc/bbs/Stock/M.1606623253.A.83E.html
[新聞] FT：HSBC考慮撤出美國消金市場,jasd1786,4,11月29日,https://www.ptt.cc/bbs/Stock/M.1606629695.A.3D3.html
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,egnaro123,13,11月29日,https://www.ptt.cc/bbs/Stock/M.1606630235.A.3B6.html
[新聞] 中油查德礦區第一船原油 12月1日展示成果,laptic,7,11月29日,https://www.ptt.cc/bbs/Stock/M.1606630923.A.CA7.html
[新聞] 中信金新一代、國泰金林祖媽ATM　小英參,gofigure,17,11月29日,https://www.ptt.cc/bbs/Stock/M.1606632394.A.1B4.html
Re: [新聞] 中油查德礦區第一船原油 12月1日展示成果,Sunofgod,5,11月29日,https://www.ptt.cc/bbs/Stock/M.1606637788.A.49E.html
[新聞] 韓籍員工境外檢測陽性 重慶海力士半導體,CavendishJr,25,11月29日,https://www.ptt.cc/bbs/Stock/M.1606639054.A.7B4.html
[新聞] 投信看台股 中小型股可望接棒補漲,okbom,8,11月29日,https://www.ptt.cc/bbs/Stock/M.1606640757.A.45B.html
[新聞] 寶佳涉勞退基金弊案 謝金河嘆「不如解散,okbom,13,11月29日,https://www.ptt.cc/bbs/Stock/M.1606641290.A.288.html
[其他] 勞退基金有限度開放自選提案,lovecutes,爆,11月29日,https://www.ptt.cc/bbs/Stock/M.1606642089.A.00C.html
[新聞] 億元教授鄭廳宜：台股會漲到你們無法相信,pigpigpig000,爆,11月29日,https://www.ptt.cc/bbs/Stock/M.1606645042.A.F6D.html
Re: [其他] 勞退基金有限度開放自選提案,egnaro123,7,11月29日,https://www.ptt.cc/bbs/Stock/M.1606645317.A.BE4.html
Re: [心得] 原來勞動基金投資組長還兼投顧啊？,husky105,10,11月29日,https://www.ptt.cc/bbs/Stock/M.1606649788.A.0DC.html
[請益] 照0050持股買投資組合，收益贏0050嗎？,somanyee,18,11月29日,https://www.ptt.cc/bbs/Stock/M.1606650189.A.89C.html
Re: [其他] 勞退基金有限度開放自選提案,Tox,3,11月29日,https://www.ptt.cc/bbs/Stock/M.1606651119.A.567.html
[新聞] 曾1年獲利2000億 陸千億國企突然暴斃,Su22,36,11月29日,https://www.ptt.cc/bbs/Stock/M.1606653319.A.853.html
[標的] 2316 楠梓電 多 母以子貴 籌碼,chu3xiao5566,21,11月29日,https://www.ptt.cc/bbs/Stock/M.1606654093.A.9F0.html
[新聞] 《金融股》明年合庫金配息能力優於華南金,wade6510,18,11月29日,https://www.ptt.cc/bbs/Stock/M.1606655510.A.0CB.html
[新聞] 台股拚萬四 台積大立光扮要角,hvariables,14,11月29日,https://www.ptt.cc/bbs/Stock/M.1606655991.A.C9C.html
[心得] 全球獨角獸 現況,Dukkha,26,11月29日,https://www.ptt.cc/bbs/Stock/M.1606656069.A.A80.html
[新聞] 勞動基金前9月收益率0.05% 績效輸大盤,bahamutuh,61,11月29日,https://www.ptt.cc/bbs/Stock/M.1606656717.A.810.html
[標的] 1305華夏,clubbox,19,11月29日,https://www.ptt.cc/bbs/Stock/M.1606659112.A.EDC.html
Re: [新聞] 億元教授鄭廳宜：台股會漲到你們無法相信,NoAfraid,31,11月29日,https://www.ptt.cc/bbs/Stock/M.1606659230.A.A30.html
[新聞] 低利蔓延，「渡邊太太」全球化？各國恐現,Su22,23,11月29日,https://www.ptt.cc/bbs/Stock/M.1606660918.A.404.html
[新聞] SEC向在美上市中國公司施壓 要求提示「,saveme,13,11月29日,https://www.ptt.cc/bbs/Stock/M.1606661875.A.436.html
[請益] 大型科技股早晚泡沫？,HAARP,45,11月30日,https://www.ptt.cc/bbs/Stock/M.1606669184.A.662.html
Re: [心得] 全球獨角獸 現況,ZMittermeyer,41,11月30日,https://www.ptt.cc/bbs/Stock/M.1606669637.A.AB7.html
Re: [請益] 大型科技股早晚泡沫？,andrew0041,19,11月30日,https://www.ptt.cc/bbs/Stock/M.1606669978.A.D40.html
[新聞] MSCI調整盤後生效 台股短線亂流警戒,NowQmmmmmmmm,28,11月30日,https://www.ptt.cc/bbs/Stock/M.1606689010.A.C2C.html
[新聞] 快訊／拜登受傷了！,Manhood27,81,11月30日,https://www.ptt.cc/bbs/Stock/M.1606689486.A.AF1.html
[新聞] 油銅ETF利多加持 價量齊揚,nab7772001,5,11月30日,https://www.ptt.cc/bbs/Stock/M.1606694015.A.62F.html
[新聞] 環球晶擬溢價48%收購矽晶圓德商Siltronic,charis,12,11月30日,https://www.ptt.cc/bbs/Stock/M.1606695313.A.75B.html
[閒聊] 2020/11/30 盤中閒聊,justforsing,爆,11月30日,https://www.ptt.cc/bbs/Stock/M.1606696203.A.8AB.html
[新聞] 凱羿-KY風險管理出包 11/30打入全額交割,awss1971,14,11月30日,https://www.ptt.cc/bbs/Stock/M.1606698471.A.48E.html
[新聞] 全球第一 英國最快12月7日接種輝瑞新冠,NoAfraid,3,11月30日,https://www.ptt.cc/bbs/Stock/M.1606698575.A.9D9.html
Re: [新聞] 3711日月光：明年Q1漲價5～10％,cccccc0125,20,11月30日,https://www.ptt.cc/bbs/Stock/M.1606698952.A.C38.html
Re: [請益] 大型科技股早晚泡沫？,tompi,45,11月30日,https://www.ptt.cc/bbs/Stock/M.1606700360.A.03D.html
[標的] 如興 4414 (獲利出清),lucky117,10,11月30日,https://www.ptt.cc/bbs/Stock/M.1606701335.A.5F5.html
[標的]  晶技 3042 （中長期）,padbear,11,11月30日,https://www.ptt.cc/bbs/Stock/M.1606701984.A.25A.html
Re: [標的] 順德 短多,NaMgAl,3,11月30日,https://www.ptt.cc/bbs/Stock/M.1606702314.A.A5B.html
